date,acres,county,cause,lat,lon,binlat,binlon
Jun,0.1,SKAMANIA,Railroad,45.72346,-121.592114,4,4
Jun,0.1,SKAMANIA,Debris Burn,45.72346,-121.592114,4,4
Aug,1.0,CHELAN,Miscellaneou,47.543965,-120.525997,2,5
Aug,0.1,CHELAN,Logging,47.545732,-120.528666,2,5
Jul,0.2,LEWIS,Lightning,46.742516,-123.066679,3,2
Jul,0.0,STEVENS,Lightning,48.498126,-117.712327,1,8
Aug,0.1,CLALLAM,Logging,47.888229,-124.451417,2,1
Jan,0.0,SPOKANE,Miscellaneou,47.778525,-117.590775,2,8
Jan,0.1,CLARK,Debris Burn,45.774359,-122.638607,4,3
Jul,0.1,FERRY,Miscellaneou,48.65268,-118.784361,1,7
Aug,0.1,SKAGIT,Lightning,48.549345,-121.790458,1,4
Jul,0.0,LEWIS,Miscellaneou,46.59457,-122.424854,3,3
Oct,0.0,CLARK,Arson,45.831186,-122.403665,4,3
Mar,65.0,CHELAN,Debris Burn,47.3404,-120.291735,2,5
Apr,0.1,CHELAN,Debris Burn,47.723645,-120.292726,2,5
Jan,0.0,OKANOGAN,Miscellaneou,48.437121,-119.606028,1,6
Jul,2.5,KITTITAS,Recreation,47.182242,-120.910287,2,5
Jun,0.1,KITTITAS,Miscellaneou,47.182242,-120.910287,2,5
Apr,0.1,KITTITAS,Smoker,47.182242,-120.910287,2,5
Aug,0.1,KITTITAS,Smoker,47.182242,-120.910287,2,5
Jul,0.0,KITTITAS,Railroad,47.182242,-120.910287,2,5
Jul,0.2,KITTITAS,Smoker,47.182242,-120.910287,2,5
Jul,0.0,KITTITAS,Miscellaneou,47.182242,-120.910287,2,5
Aug,0.1,KING,Miscellaneou,47.275855,-121.898367,2,4
Oct,398.0,STEVENS,Miscellaneou,47.898375,-117.721428,2,8
Jul,0.1,PACIFIC,Miscellaneou,46.406564,-123.913407,3,2
Sep,0.1,SAN JUAN,Debris Burn,48.59519,-122.889977,1,3
Aug,0.3,SAN JUAN,Recreation,48.59519,-122.889977,1,3
Jul,0.0,STEVENS,Debris Burn,48.527524,-117.832565,1,8
Jul,0.1,SPOKANE,Debris Burn,47.852926,-117.293656,2,8
Oct,471.0,SPOKANE,Miscellaneou,47.500279,-117.661085,2,8
Aug,0.0,KING,Miscellaneou,47.714196,-121.839986,2,4
Aug,10.0,STEVENS,Arson,48.315821,-117.661294,1,8
Nov,0.1,ISLAND,Children,48.381677,-122.617669,1,3
